,artist_name,track_name,track_id,popularity
800,KAROL G,Punto G,3UUcvdIj9ScsSFP8f0jJyU,1
801,William Right,Going Home (2022),2d5UjHjHX2hk7fjFh63emq,0
802,KAROL G,Lo Sabe Dios,0qvKvpsVPfH9sbB4ewtvQM,2
803,Swashii,Progress - Remastered 2022,3pbTf8FL1vHlMotL0Pp38V,9
804,KAROL G,La Vida Continuó,6BvKAUqRQJoW8EOfgyHHjU,0
805,William Right,The Duel (2022),6yL1rqGAbybZuR24UKm2S2,0
806,KAROL G,DVD,27sYChGP0vDM5wY06aBOE9,0
807,Sexy Chillout Music Cafe,#Deep House 2022,6PrvZt9xnNA5ZG3dr8TP6Z,2
808,KAROL G,"Ay, DiOs Mío!",2daqn5MHVNvt0bG6TKvN7Q,0
809,Time Shard,Zero - 2022 Remaster,7AL6CYD9vq95J6sInrXubl,0
810,KAROL G,Punto G,5hAGPiRZbVDfxgJtfwz8vn,0
811,Time Shard,Metamind - 2022 Remaster,3YPlGiPnGVByINMVMs38Al,1
812,KAROL G,Pineapple,4UVRPKRyVadAZhICwhXPmy,0
813,Time Shard,Oracle - 2022 Remaster,3f78pdhlYlS8DTxO36Zcg9,2
814,KAROL G,EL MAKINON,4TN6NeSOQrIW8XhEECEZDr,0
815,Blu Music,New 2022 beats,07z4nm6MGj1FbDeqPvoV6x,0
816,KAROL G,Créeme,4BSJrwE12bezdTDDJndv4M,0
817,Time Shard,Youniverse - 2022 Remaster,2dqh57SJGT10okAopVYI5K,0
818,KAROL G,Ahora Me Llama,6PvCsBkw0djRr1n7TqJvFY,0
819,William Right,I Need You (2022),55y1ZPJSaZ0gwspyxgvqbv,0
820,KAROL G,Casi Nada - Nando Pro Remix,5WWhFwJtU7TOAm5Dg0iRNA,0
821,William Right,Saturday Night (Reprise 2022),45ZRM6DiNKun3TvlZ6eCnP,0
822,KAROL G,A Ella,4elhtQJP6GLQB2sWCvTrdP,0
823,"Beats,by,dizzy",2022 things to change,17I2GV2tBGBOQ9Ngnn3gNm,0
824,KAROL G,A Ella,0E3Zg8nnwauDrdwpxP68C4,0
825,The Cherry Blues Project,Dawn - 2022 Mix,4CcNW49w3mcunLZmgGbKlN,0
826,KAROL G,"Ay, DiOs Mío!",0MvfWn0i3miX2tU3vWhU9B,0
827,Time Shard,Cosmic Carrot - 2022 Remaster,49u25ckAvC2vLaOFAKON5w,1
828,KAROL G,Mi Cama,4RkBYaUmGFoSwI0PShuX0t,0
829,Latrell,happy 2022 <3,1TQA7GIvmK6Dpi0iBjeBJu,0
830,KAROL G,Pineapple,2XuPRyM2PYlBxKEPKx0XJm,0
831,William Right,Going Home (Duet 2022),41Jbbj4t5bNSaCPtV7sndW,0
832,KAROL G,Pineapple,4WaRwEPwlkKkttGXMyabKr,0
833,Time Shard,Expand Forever - 2022 Remaster,3INPb1gpR014DX9bsyEXmO,0
834,KAROL G,Casi Nada,4oHUh2PdQRZmSHqU9RY32d,0
835,Time Shard,The Others - 2022 Remaster,613GJzJTDc2f4TvHj56WsH,0
836,KAROL G,Mi Cama - Remix,3Ot9Cqg2eXKDYlqqBZVdqc,0
837,Time Shard,Dream Messages - 2022 Remaster,4WuBbpYdKsJxilb46dutT9,1
838,KAROL G,Hello,6Ih9O1ezMnMYY8oG4dispv,0
839,K.H. Gorman,6:00 on a rainy Monday in late November of the year 2022,24oj0VevUrCn6QCeL7k9gl,0
840,KAROL G,EL MAKINON,2efRm6go9eBfTXmlGLZTK7,0
841,Time Shard,Psionic Lattice - 2022 Remaster,3fm1ltQyvW30SbUb5FEbMf,2
842,KAROL G,Ahora Me Llama,04PNc3mtf6yEb8URBdZt1I,0
843,Time Shard,25th Century - 2022 Remaster,3PwVARcMkEWrGoYCHSJ9wz,2
844,KAROL G,Mi Cama,7psW2HpPvdQMRAB3zoaffr,0
845,Time Shard,Voodoo Chronometer - 2022 Remaster,0Y6jZQ942ExYc3DwkbjNUD,3
846,KAROL G,"Ay, DiOs Mío!",1sjxxb9xFoyoe9AbDRo82k,0
847,Time Shard,Photon (Wave) - 2022 Remaster,7vH2fxmGs7L4WnNhb3HFI8,1
848,KAROL G,LEYENDAS,7BC6CyA3HjV4DbpfJOD2qJ,0
849,Time Shard,Central Sun - 2022 Remaster,5feUtvS7uI6VdYlkOdz9pJ,0
850,KAROL G,EL MAKINON,3rhPnILC7DexdxGJcdA71V,0
851,Time Shard,Star Glyph - 2022 Remaster,4yDxXSXBwOfqRFiPU0HNnh,0
852,KAROL G,A Ella,2yT6a2lmChpVYM3DJaZwWx,0
853,Time Shard,Human Error - 2022 Remaster,4oSDN3b30psnWQcdDWXNOu,1
854,KAROL G,Hello,3o0al3tjrhYWJe7S0ijUW0,0
855,Time Shard,Hunab Ku - 2022 Remaster,6vENvnry4Ug2KeDKuKQK42,1
856,KAROL G,Ahora Me Llama,4sY27zcfTrgWOWrhtEZf6J,0
857,Time Shard,Reality Helmet - 2022 Remaster,2uPKktN8aIPn3tWSUIrz7n,0
858,KAROL G,"Ay, DiOs Mío!",2HgdKkwdNnU81j5r1tMoZN,0
859,Time Shard,Metatron's Cube - 2022 Remaster,61f8ZV6oOPx3yww9QH0vWD,0
860,KAROL G,Créeme,4F90ObKASHbO97pja7Ng6K,0
861,Time Shard,Magnetic Storm - 2022 Remaster,7wE5siwy2p4BEWn4SMmM0q,0
862,KAROL G,SOLA ES MEJOR,0iHiKCE3tfE0MCtM1Zm2q0,0
863,BOYCOLE.,2022 and some more,5HYJe3jBS1blIIUspPMZaO,0
864,KAROL G,Mi Cama - Remix,1A12kmQnDovpYehvGvhQk2,0
865,Time Shard,Mind Tundra - 2022 Remaster,4d3vtlq24pNlTpRg2Vqmnd,0
866,KAROL G,Punto G,09KtqCrFpu9Ld5g4Uuoz8e,0
867,Sexy Chillout Music Cafe,Housewarming Party Mix 2022,6eWwHqhlEcHgW45OS0F84X,0
868,KAROL G,BEAUTIFUL BOY,04vsZhLcJMKgL5xkIgXc4b,0
869,Time Shard,Crystal Oscillations - 2022 Remaster,3OrlZLcu0IsZ415o1HqBpR,1
870,KAROL G,"Ay, DiOs Mío!",5JMvaJT5tLWFFF12FwP3fO,0
871,Time Shard,Photon (Particle) - 2022 Remaster,1OhGWAELgIh35eHS2QxJ4p,0
872,KAROL G,EL MAKINON,2B2CTTvc1YlT1SKpZkbrw1,0
873,William Right,I Need You (Duet 2022),5KfrnvfrfySrXDgT4rS0nY,0
874,KAROL G,"Ay, DiOs Mío!",2mDsartkhO52iftP01IG0l,0
875,Nick Gill,It Probably Won't Be The Best Year Of Our Lives (An Anthem For 2022),7qQRqE8b4hNv8KK5SsIzMV,0
876,KAROL G,"Ay, DiOs Mío!",6UVVc3KOjzU1hp9sTIWN1i,0
877,Time Shard,X-Ray Ears - 2022 Remaster,279cmYtlly125lcqu9hb4G,0
